Node1,Node2
1,9
1,8
2,10
2,20
3,11
3,12
3,4
4,13
5,15
5,16
6,29
6,7
7,17
8,18
8,19
9,19
9,20
10,21
10,11
10,34
11,22
12,23
13,24
14,25
14,15
15,16
15,26
15,28
16,28
16,29
17,29
17,30
18,43
18,31
19,32
20,33
21,33
22,34
22,23
22,35
23,37
24,37
24,38
25,38
25,39
26,39
26,27
27,28
27,40
28,41
29,41
29,42
30,42
31,44
31,43
32,44
32,33
32,45
33,46
34,47
34,48
35,36
35,65
35,48
36,37
36,49
37,50
38,51
38,50
29,51
39,52
40,41
40,53
40,52
41,54
42,56
42,72
43,57
44,58
45,58
45,46
45,60
45,59
46,47
46,61
47,62
48,62
48,63
49,50
49,66
51,52
51,68
51,67
52,69
53,54
53,69
54,55
54,70
55,71
56,91
57,58
57,73
58,59
58,75
58,74
59,76
59,75
60,61
60,76
61,76
61,62
61,78
62,79
63,64
63,80
63,79
64,65
64,81
65,66
65,82
66,67
66,82
67,68
67,84
68,69
68,85
69,86
70,71
70,87
71,72
71,89
72,91
72,90
73,92
73,74
74,92
74,75
75,94
76,77
77,95
77,78
77,96
78,79
78,97
79,98
80,100
80,99
81,82
81,100
82,101
83,102
83,101
84,85
85,103
86,103
86,104
87,88
88,89
88,117
89,105
90,91
90,105
91,107
91,105
92,93
93,94
94,95
95,122
96,97
96,109
97,98
97,109
98,99
98,110
99,110
100,101
100,112
100,113
101,114
102,103
102,115
104,116
105,106
105,108
106,107
107,119
108,117
108,119
109,110
109,124
110,111
111,124
111,112
112,125
113,125
113,114
114,126
114,132
114,131
114,115
115,126
115,127
116,127
116,117
116,118
118,134
118,129
118,142
119,136
120,121
120,144
121,122
121,145
122,123
122,146
123,124
123,137
123,148
123,149
124,130
124,138
125,131
126,127
126,140
127,134
127,133
128,142
128,143
128,160
128,188
128,172
129,135
129,143
129,142
130,139
130,131
132,140
133,140
133,141
134,142
134,141
135,143
135,146
135,161
136,162
137,147
138,150
138,152
139,140
139,154
139,153
140,156
140,154
141,142
141,158
142,143
142,158
143,160
144,145
144,177
145,146
146,147
146,163
147,164
148,149
148,164
149,150
149,165
150,151
151,152
151,166
151,165
152,153
153,154
153,167
153,166
154,155
155,156
155,168
155,167
156,157
156,169
157,158
157,170
158,159
159,170
159,172
159,186
160,161
160,173
161,174
162,175
163,177
164,179
164,178
165,180
165,179
166,183
166,181
167,168
167,183
168,184
169,184
170,185
171,173
171,175
171,199
172,187
173,174
173,188
174,175
176,177
176,189
178,191
178,189
179,191
180,181
180,193
181,182
181,193
182,183
182,195
183,196
184,196
184,197
184,185
185,186
186,198
187,188
187,198
188,199
189,190
190,191
190,192
191,192
192,194
193,194
194,195
195,197
196,197
198,199
